time_s,time_min,depth_m,lead,tail,cement_total,spacer,flusher,mud
4.0,0.0667,5874.097,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5864.391,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5854.685,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5844.979,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5835.273,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5825.567,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5815.861,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5806.155,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5796.449,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5786.743,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5777.037,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5767.331,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5757.625,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5747.919,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5738.213,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5728.507,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5718.801,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5709.095,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5699.389,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5689.683,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5679.977,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5670.271,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5660.565,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5650.859,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5641.153,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5631.447,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5621.741,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5612.035,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5602.329,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5592.623,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5582.917,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5573.211,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5563.505,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5553.799,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5544.093,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5534.387,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5524.681,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5514.975,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5505.269,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5495.563,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5485.857,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5476.151,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5466.445,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5456.739,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5447.033,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5437.327,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5427.621,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5417.915,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5408.209,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5398.503,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5388.797,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5379.091,0.0,0.0,0.0,0.0,0.0,1.0
