timestamp_utc,density_mass_g_cm3,pump_press_a_mpa,pump_press_b_mpa,pump_rate_all_m3_min,pump_total_all_m3,water_rate_m3_min
2025-08-14T01:30:45.533000,1.625072,8.430569,0,0.56385,4326.3,0.330826
2025-08-14T01:30:50.544000,1.629413,8.439672,0,0.56385,4326.346,0.330826
2025-08-14T01:30:55.642000,1.626881,8.417857,0,0.56385,4326.393,0.330826
2025-08-14T01:31:00.653000,1.626338,8.452029,0,0.56385,4326.439,0.330826
2025-08-14T01:31:05.750000,1.619285,8.446432,0,0.56385,4326.485,0.330826
2025-08-14T01:31:10.762000,1.625796,8.396207,0,0.56385,4326.532,0.330826
2025-08-14T01:31:15.859000,1.618743,8.388587,0,0.56385,4326.578,0.330826
2025-08-14T01:31:20.870000,1.616392,8.361966,0,0.56385,4326.625,0.330826
2025-08-14T01:31:25.968000,1.615488,8.31927,0,0.56385,4326.671,0.330826
2025-08-14T01:31:30.979000,1.613679,8.364286,0,0.56385,4326.717,0.330826
2025-08-14T01:31:36.077000,1.611871,8.344631,0,0.56385,4326.764,0.330826
2025-08-14T01:31:41.088000,1.609158,8.303587,0,0.56385,4326.81,0.330826
2025-08-14T01:31:46.186000,1.604094,8.338703,0,0.56385,4326.856,0.330826
2025-08-14T01:31:51.197000,1.604818,8.276005,0,0.56385,4326.903,0.330826
2025-08-14T01:31:56.294000,1.601563,8.279599,0,0.56385,4326.949,0.330826
2025-08-14T01:32:01.306000,1.600658,8.30411,0,0.56385,4326.996,0.330826
2025-08-14T01:32:06.403000,1.597946,8.24789,0,0.56385,4327.042,0.330826
2025-08-14T01:32:11.414000,1.60102,8.25848,0,0.56385,4327.098,0.330826
2025-08-14T01:32:16.512000,1.590712,8.236156,0,0.56385,4327.144,0.330826
2025-08-14T01:32:21.523000,1.590169,8.306879,0,0.56385,4327.19,0.330826
2025-08-14T01:32:26.621000,1.596499,7.102057,0,0.56385,4327.237,0.330826
2025-08-14T01:32:31.632000,1.594871,7.090513,0,0.56385,4327.283,0.330826
2025-08-14T01:32:36.730000,1.601563,7.171462,0,0.56385,4327.33,0.330826
2025-08-14T01:32:41.741000,1.605541,7.179843,0,0.56385,4327.376,0.330826
2025-08-14T01:32:46.838000,1.609158,7.216191,0,0.56385,4327.422,0.326792
2025-08-14T01:32:51.850000,1.612956,7.276277,0,0.56385,4327.469,0.330826
2025-08-14T01:32:56.947000,1.60952,7.278755,0,0.56385,4327.515,0.326792
2025-08-14T01:33:01.958000,1.617477,7.278405,0,0.56385,4327.562,0.330826
2025-08-14T01:33:07.056000,1.617477,7.289318,0,0.56385,4327.608,0.330826
2025-08-14T01:33:12.067000,1.624168,7.303658,0,0.56385,4327.654,0.330826
2025-08-14T01:33:17.165000,1.623626,7.278397,0,0.56385,4327.701,0.330826
2025-08-14T01:33:22.176000,1.627604,7.343176,0,0.56385,4327.747,0.330826
