井深_m,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7597.230935251799,0.43482536421074963,0.0,0.3879714973638973,0.5651746357892504,0.00028385108247278924,0.6973031147288927,0.0,0.00028553574485410847,0.7567658213938446,6.420154107426877e-22,0.0,0.0,0.0,0.02409308406560857,0.55,0.4128804295991778
7590.670503597123,0.4567975145500749,0.0,0.4075221194498078,0.543202485449925,0.0013228620100807864,0.7057194505737229,0.0,0.0013308686540190464,0.7685791086671702,3.0666792387568856e-21,0.0,0.0,0.0,0.024116053577365234,0.55,0.41327405549845836
7584.110071942446,0.48526389558380395,0.0,0.42647313985337715,0.514736104416196,0.0036279390268662646,0.6963176145370324,0.0,0.0036577611137625994,0.7717877677222311,1.9924483296082e-17,0.0,0.0,0.0,0.02598615894761671,0.55,0.44532183761562333
7577.54964028777,0.5009651168640461,0.0,0.43508293175959606,0.4990348831359538,0.0035488901401610497,0.6898387261884795,0.0,0.0035823193154509436,0.7696949357643452,5.164113996106946e-15,0.0,0.0,0.0,0.027836126367968304,0.5229754820143884,0.47702451798561163
7570.989208633094,0.4897799703042534,0.0,0.43030395461623555,0.5102200296957465,0.10395250974111626,0.6931586823425505,0.0,0.10496919925184538,0.7775175289586019,6.21886395434727e-16,0.0,0.0,0.0,0.029299612402748886,0.4978958890030841,0.5021041109969159
7564.428776978417,0.5192709118744784,0.0,0.4655209534919829,0.48072908812552173,0.28362726569235125,0.7078411675371707,0.0,0.28582956979854257,0.7920889047862515,2.3523311734893767e-17,0.0,0.0,0.0,0.02690925530972523,0.538859165467629,0.461140834532371
7557.868345323741,0.5075531961251628,0.0,0.4602705886768095,0.4924468038748369,0.0,0.724220473354658,0.0,0.0,0.7990441157696174,6.934991726175143e-19,0.0,0.0,0.0,0.024713169844132236,0.55,0.4235067687564234
7551.307913669065,0.5136622311894753,0.0,0.4668506389554068,0.48633776881052454,0.0,0.7341463400895292,0.0,0.0,0.8081374998402605,1.93114605914077e-20,0.0,0.0,0.0,0.02434237629720353,0.55,0.41715252209660864
7544.747482014389,0.5116814192164607,0.0,0.46490145863926197,0.4883185807835393,0.0,0.7456790415686652,0.0,0.0,0.8196752881321145,6.845842255426867e-22,0.0,0.0,0.0,0.023877004482105207,0.55,0.39506173155190294
7538.187050359712,0.5142538181840212,0.0,0.4656263049826614,0.48574618181597873,0.0,0.7536080153650314,0.0,0.0,0.8307911050520087,4.62546020558236e-22,0.0,0.0,0.0,0.023760772988018687,0.55,0.3800399424460437
7531.626618705036,0.5140573934334736,0.0,0.4614258401424125,0.4859426065665264,0.0,0.7532279198250826,0.0,0.0,0.8397736450572598,8.999057526410166e-22,0.0,0.0,0.0,0.02462048899948171,0.55,0.3937906071942447
7525.06618705036,0.5124006576607217,0.0,0.45660648709076473,0.48759934233927804,0.0,0.751030977709081,0.0,0.0,0.8458484551323111,5.555637908082764e-22,0.0,0.0,0.0,0.02530005808774239,0.55,0.40465992517985583
7518.505755395683,0.5106018148791285,0.0,0.4514664865628369,0.48939818512087124,0.0,0.7451675008035398,0.0,0.0,0.8485474523746703,3.7440914298102703e-22,0.0,0.0,0.0,0.025991236255762735,0.55,0.4157149237410082
7511.945323741007,0.5091956555894903,0.0,0.44776987707547555,0.49080434441050963,0.0,0.7354037579073321,0.0,0.0,0.8460701365421152,8.473983140132882e-23,0.0,0.0,0.0,0.02692314216131808,0.55,0.43062022446043213
7505.384892086331,0.5077756089710043,0.0,0.4515764790162547,0.49222439102899557,0.0,0.7397377078082311,0.0,0.0,0.8390897053851731,6.095624432735158e-23,0.0,0.0,0.0,0.02576829241072893,0.55,0.4121490647482024
7498.824460431655,0.5095099941552497,0.0,0.4593324637180518,0.49049000584475017,0.0,0.7467116283819438,0.0,0.0,0.8310936689992224,1.1527081708320288e-22,0.0,0.0,0.0,0.023933761302556488,0.55,0.38280679136690754
7492.264028776978,0.5119043999229794,0.0,0.4627524646043388,0.4880956000770205,0.0,0.7478908362168056,0.0,0.0,0.8256321688203886,2.2271075206209567e-22,0.0,0.0,0.0,0.023014980832290543,0.55,0.3681114244604313
7485.703597122302,0.5144966802858091,0.0,0.46404515997121515,0.4855033197141911,0.0,0.7496018550185097,0.0,0.0,0.8263212275206036,2.7992641699818684e-22,0.0,0.0,0.0,0.022648480507437695,0.55,0.3622494618705038
7479.143165467626,0.5172042519654704,0.0,0.4635709088775014,0.48279574803452996,0.0,0.750275823147541,0.0,0.0,0.8337828179416334,5.969392188639286e-21,0.0,0.0,0.0,0.022922290991700588,0.55,0.3666289035971205
7472.582733812949,0.5073377005293134,0.0,0.4458286649515893,0.4926622994706864,0.0,0.7364833589587475,0.0,0.0,0.8463763472540224,9.205495799844407e-21,0.0,0.0,0.0,0.02552112717902432,0.55,0.4081957985611534
7466.022302158273,0.4964018740239559,0.0,0.433282275491974,0.5035981259760438,0.0,0.7318072504508984,0.0,0.0,0.8587447526837796,1.9165362427904235e-21,0.0,0.0,0.0,0.026936185913478655,0.55,0.4308288517985615
7459.461870503597,0.4823225905712797,0.0,0.41930413855375775,0.5176774094287201,0.0,0.7315407695722949,0.0,0.0,0.8667459613468348,2.1974501984495493e-22,0.0,0.0,0.0,0.02749352213662093,0.55,0.43974312517985653
7452.901438848921,0.49659911317500055,0.0,0.43339677942520394,0.5034008868249995,0.0,0.7346855224442179,0.0,0.0,0.8710219985179638,4.0464117258973073e-23,0.0,0.0,0.0,0.02705382005442229,0.55,0.43271034244604384
7446.341007194244,0.5061109138433878,0.0,0.4333062337625949,0.49388908615661237,0.0,0.719510352096523,0.0,0.0,0.8671055727880156,6.179812742712711e-18,0.0,0.0,0.0,0.028173392049092173,0.5493827453237397,0.4506172546762603
7439.780575539568,0.4882798642023547,0.0,0.4146468528233423,0.5117201357976451,0.0,0.7198093917249245,0.0,0.0,0.8772758062887565,1.3240029976529173e-18,0.0,0.0,0.0,0.030410108934006242,0.5136077410071938,0.4863922589928062
7433.220143884892,0.48770369167688826,0.0,0.42019323384902296,0.5122963083231122,0.0,0.7346125874317558,0.0,0.0,0.9000143645524298,6.827701241733106e-20,0.0,0.0,0.0,0.029199287528548744,0.5329741352517975,0.4670258647482025
7426.6597122302155,0.47739899817870485,0.0,0.41274277751399113,0.5226010018212951,0.0,0.7415781909673033,0.0,0.0,0.9110901190214288,2.3249029126708415e-21,0.0,0.0,0.0,0.02831759911524198,0.5470762359712233,0.4529237640287766
7420.0992805755395,0.48582260582310927,0.0,0.4203328804552363,0.5141773941768905,0.0,0.7483745454836639,0.0,0.0,0.9177733277359279,7.225596626179506e-23,0.0,0.0,0.0,0.027753205397792968,0.55,0.44389661007194237
7413.5388489208635,0.5017173128107566,0.0,0.43467699696114787,0.4982826871892433,0.0,0.7546921989524323,0.0,0.0,0.9245871798441528,7.85482110075155e-24,0.0,0.0,0.0,0.02756368902388142,0.55,0.440865404316547
7406.9784172661875,0.5278431409278387,0.0,0.4561001752102068,0.4721568590721615,0.0,0.7635656939168847,0.0,0.0,0.9241184710456289,6.198867561268309e-19,0.0,0.0,0.0,0.027426783781749908,0.5471677697841746,0.4528322302158254
7400.417985611511,0.5188278569487638,0.0,0.449418530365605,0.4811721430512362,0.0,0.7793239768374218,0.0,0.0,0.9215847391421821,4.428446538952e-17,0.0,0.0,0.0,0.027344749811190457,0.5177432966084266,0.48225670339157345
7393.857553956835,0.5151162916796169,0.0,0.4458634896283396,0.4848837083203829,0.0,0.7816006119927668,0.0,0.0,0.9262152408813781,8.408044712693059e-18,0.0,0.0,0.0,0.027864885306426695,0.5065653981500514,0.4934346018499486
7387.297122302159,0.5054614016531094,0.0,0.43935041066118813,0.4945385983468905,0.0,0.7855380012455988,0.0,0.0,0.935584493883778,7.737845460272812e-19,0.0,0.0,0.0,0.028073149217858372,0.5028774367934221,0.49712256320657794
7380.736690647482,0.4951999620868594,0.0,0.4312758367172931,0.5048000379131399,0.0,0.7910472218219217,0.0,0.0,0.9469719561232118,5.101148813258996e-20,0.0,0.0,0.0,0.027777826923844322,0.5081070380267217,0.49189296197327825
7374.176258992806,0.49238683160864993,0.0,0.4281983302678064,0.5076131683913503,0.0,0.7962886212896744,0.0,0.0,0.9581690945566538,3.2331315061823286e-21,0.0,0.0,0.0,0.027540762332795864,0.5123050051387461,0.4876949948612539
7367.61582733813,0.5257694213040583,0.0,0.4605914321436791,0.47423057869594204,0.0,0.8006801609934621,0.0,0.0,0.9683941635917299,3.746289166113686e-22,0.0,0.0,0.0,0.02728960218436282,0.5167525780061661,0.4832474219938338
7361.055395683454,0.5303573232248529,0.0,0.4645908963568013,0.46964267677514715,0.0,0.8033721951291164,0.0,0.0,0.9771463643880668,1.1204500450177191e-22,0.0,0.0,0.0,0.02700084260799356,0.521865965878725,0.4781340341212749
7354.494964028777,0.528521469201794,0.0,0.4628729668669739,0.471478530798206,0.0,0.8049781908755779,0.0,0.0,0.9838998251805166,2.768805120319096e-23,0.0,0.0,0.0,0.02634036362262183,0.5335618039054472,0.46643819609455284
7347.934532374101,0.5395025462713224,0.0,0.4736107688815625,0.4604974537286777,0.0,0.8058255023236616,0.0,0.0,0.9879743864683005,6.365100563839905e-24,0.0,0.0,0.0,0.025671639319117045,0.5454036509763613,0.4545963490236386
7341.374100719425,0.5232065470699081,0.0,0.4581651579220748,0.4767934529300919,0.0,0.8076294163205788,0.0,0.0,0.9901675022559503,2.8253706242418246e-24,0.0,0.0,0.0,0.025140059189891824,0.55,0.4451830668037007
