排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.6,15.0,310.0,0.951072,8.4
0.6,15.0,330.0,0.951392,8.2
0.6,15.0,350.0,0.951671,8.4
0.6,17.0,50.0,0.926892,8.4
0.6,17.0,70.0,0.934303,8.2
0.6,17.0,90.0,0.939059,8.3
0.6,17.0,110.0,0.942287,8.3
0.6,17.0,130.0,0.944552,8.6
0.6,17.0,150.0,0.946187,8.2
0.6,17.0,170.0,0.94742,8.2
0.6,17.0,190.0,0.94838,8.4
0.6,17.0,210.0,0.949147,8.3
0.6,17.0,230.0,0.949772,8.2
0.6,17.0,250.0,0.950291,8.3
0.6,17.0,270.0,0.950729,8.4
0.6,17.0,290.0,0.951103,8.5
0.6,17.0,310.0,0.951426,8.2
0.6,17.0,330.0,0.951707,8.3
0.6,17.0,350.0,0.951955,8.5
0.6,19.0,50.0,0.933242,8.2
0.6,19.0,70.0,0.938269,8.3
0.6,19.0,90.0,0.941706,8.3
0.6,19.0,110.0,0.94415,8.3
0.6,19.0,130.0,0.945937,8.4
0.6,19.0,150.0,0.947269,8.2
0.6,19.0,170.0,0.948291,8.3
0.6,19.0,190.0,0.949097,8.4
0.6,19.0,210.0,0.94975,9.2
0.6,19.0,230.0,0.950289,8.5
0.6,19.0,250.0,0.950739,8.4
0.6,19.0,270.0,0.951122,8.6
0.6,19.0,290.0,0.951451,8.7
0.6,19.0,310.0,0.951737,8.5
0.6,19.0,330.0,0.951987,8.6
0.6,19.0,350.0,0.952209,8.5
0.6,21.0,50.0,0.937578,8.6
0.6,21.0,70.0,0.94113,8.9
