井深_m,balance_平均浓度,spacer_平均浓度,lead_平均浓度,tail_平均浓度,mud_平均浓度
7002.468937875751,6.183351870721764e-06,1.5240607322697495e-06,0.09492801850627866,0.887853000892209,0.01721127318890936
6997.523046092185,6.106914552701607e-06,1.5054946303177517e-06,0.09537531544980493,0.8874449645763908,0.017172107564621286
6992.5771543086175,6.031777646738444e-06,1.4872421438085948e-06,0.09582175769741752,0.8870382250468245,0.01713249823596741
6987.63126252505,5.957909033038477e-06,1.4692955466009383e-06,0.09626736096363733,0.8866327946038425,0.017092417227940526
6982.685370741483,5.885277598002452e-06,1.4516473540536918e-06,0.09671213565035214,0.8862286742661177,0.017051853158578045
6977.739478957916,5.8138532314611025e-06,1.4342903229979253e-06,0.09715609008248009,0.885825863982977,0.017010797790988463
6972.793587174348,5.7436068155420174e-06,1.417217449476724e-06,0.09759923384229534,0.885424371005516,0.016969234327923632
6967.847695390781,5.67451020937021e-06,1.4004219651844191e-06,0.0980415803437396,0.8850242158845858,0.016927128839500094
6962.901803607215,5.606536237522364e-06,1.383897334426595e-06,0.09848314846414148,0.8846254365186542,0.016884424583632374
6957.9559118236475,5.539658691285951e-06,1.3676372533036475e-06,0.09892396264386244,0.8842280900469383,0.016841040013254704
6953.01002004008,5.473851656790796e-06,1.3516354799249045e-06,0.0993640683627084,0.8838322351737475,0.016796870976407363
6948.064128256513,5.409089013327441e-06,1.3358857143598093e-06,0.09980357142229167,0.8834378803129868,0.016751803289993927
6943.118236472946,5.345346262680042e-06,1.3203820559884516e-06,0.1002425747057935,0.8830450414571318,0.016705718108755985
6938.172344689378,5.282600780377008e-06,1.3051190636822444e-06,0.10068110270027841,0.8826538213306533,0.016658488249224224
6933.226452905812,5.22083029448178e-06,1.2900913740961105e-06,0.10111918498794668,0.8822643043411379,0.016609999749246818
6928.280561122245,5.16001299655948e-06,1.275293731039301e-06,0.10155685049746303,0.8818765515723662,0.016560162623443175
6923.3346693386775,5.100127590209496e-06,1.2607209990124125e-06,0.10199412285179654,0.8814905977197222,0.016508918579892118
6918.38877755511,5.041153303330538e-06,1.2463681677213096e-06,0.10243101763285188,0.8811064488947203,0.016456245950956738
6913.442885771543,4.983069887606726e-06,1.2322303534324255e-06,0.10286754096685817,0.8807240822949608,0.016402161437939933
6908.496993987976,4.925857616797209e-06,1.2183027996330137e-06,0.10330368930617205,0.8803434473828706,0.016346719150540867
6903.551102204408,4.869497285939472e-06,1.2045808776547838e-06,0.10373944968000014,0.8799644685700714,0.016290007671764917
6898.605210420842,4.813970203074814e-06,1.1910600854307155e-06,0.1041747998198679,0.8795870497555586,0.01623214539428508
6893.659318637275,4.759258186946198e-06,1.1777360461773383e-06,0.10460970997674898,0.8792110781460974,0.01617327488292042
6888.7134268537075,4.705343560867526e-06,1.164604506265486e-06,0.10504414430546101,0.8788364282441098,0.016113557502362097
6883.76753507014,4.652209144007367e-06,1.151661332405233e-06,0.10547806220234644,0.8784629653671374,0.016053168560039688
6878.821643286573,4.599838240133417e-06,1.1389025083292108e-06,0.10591141944279066,0.8780905484342888,0.015992293382172118
6873.875751503006,4.54821462442312e-06,1.126324131191066e-06,0.10634416901820251,0.8777190318618667,0.015931124581175182
6868.929859719439,4.4973225290973105e-06,1.1139224078630992e-06,0.10677626165230675,0.8773482665858976,0.01586986051685868
6863.983967935872,4.4471466285431475e-06,1.1016936512834553e-06,0.10720764598158117,0.8769781002733693,0.01580870490476971
6859.038076152305,4.397672024543103e-06,1.089634277007187e-06,0.10763826845951216,0.8766083770307077,0.01574786720347854
6854.092184368737,4.3488842322669115e-06,1.077740800111007e-06,0.10806807312121429,0.8762389370975279,0.015687563156225437
6849.14629258517,4.30076916765874e-06,1.0660098325201792e-06,0.10849700148449795,0.8758696172850853,0.015628014451416594
6844.200400801603,4.2533131375728426e-06,1.0544380809099246e-06,0.10892499263712027,0.8755002524894823,0.015569447122179003
6839.254509018036,4.206502837701521e-06,1.0430223462281491e-06,0.10935198333956188,0.87513067919614,0.015512087939114183
6834.308617234469,4.160325376343853e-06,1.0317595292541942e-06,0.10977790753175061,0.8747607450091751,0.015456155374168667
6829.362725450902,4.114768386787211e-06,1.020646658057712e-06,0.11020269396226967,0.8743903409376865,0.015401829684998924
6824.416833667335,4.069820465848179e-06,1.0096809973653057e-06,0.11062625635452533,0.8740195159659078,0.015349148178103733
6819.470941883767,4.0254730380624675e-06,9.988605165312673e-07,0.11104844128890995,0.8736489103922052,0.0152976239853303
6814.5250501002,3.981730133572476e-06,9.881863466753412e-07,0.1114686471519121,0.873281647719868,0.015244735211739635
6809.579158316634,3.938670026867094e-06,9.77678243550157e-07,0.11188289206972343,0.8729335941063568,0.015178597475649314
6804.6332665330665,3.897164663644422e-06,9.675534878802333e-07,0.11225090478075557,0.8727113200762993,0.0150329104247936
6799.687374749499,3.897447576835719e-06,9.67793503109372e-07,0.11064321635966877,0.8750250769279011,0.014326841471350216
6794.741482965932,3.850419781745611e-06,9.563767362799289e-07,0.11091118309455292,0.8751247604419686,0.013959249666960383
6789.795591182365,3.8002860653655756e-06,9.441341675970182e-07,0.11148893674813791,0.8750009524127412,0.013505366418887887
6784.849699398797,3.751200031190802e-06,9.321458853038432e-07,0.11208441812117621,0.8749588786029764,0.012952019929930891
6779.90380761523,3.703074682701299e-06,9.203880250752814e-07,0.1126972512408527,0.8749683846215293,0.012329740674910328
6774.957915831663,3.6558366276004843e-06,9.088373619293119e-07,0.1133236976231114,0.8749928038554469,0.011678933847452222
6770.0120240480965,3.609435749995852e-06,8.974713103731929e-07,0.11395828199328299,0.8749896351665716,0.01104757593308503
6765.066132264529,3.563861841052012e-06,8.862678821753161e-07,0.11459529900578301,0.8749109539055523,0.010489296958941519
6760.120240480962,3.5191710813643564e-06,8.752059543506673e-07,0.11522837735929066,0.8747030115772573,0.010064216686416327
6755.174348697395,3.4755109458272617e-06,8.642651880480652e-07,0.11584714340125707,0.8743079937513859,0.009840523071223184
6750.228456913827,3.4331725055979927e-06,8.534426832137308e-07,0.11643041785785464,0.8736762034855778,0.009889092041378666
6745.282565130261,3.392371897944179e-06,8.427303216465347e-07,0.11694820044411033,0.8727881313137962,0.010259433139873875
6740.336673346694,3.3529787801351577e-06,8.321110583747092e-07,0.1173755097936323,0.8716813328078429,0.010938972308686346
6735.390781563126,3.3143545412089555e-06,8.215649890554668e-07,0.1177117084469039,0.8704541855547844,0.011829970078781504
6730.444889779559,3.2755762788525935e-06,8.11084129460094e-07,0.11798560892897003,0.8692282405062162,0.012782063904405505
6725.498997995992,3.2359207859194264e-06,8.00684157066241e-07,0.11823830064438619,0.8680969191221908,0.013660743628480021
6720.553106212425,3.195163069282779e-06,7.903981029478081e-07,0.11850277544854732,0.8671009547552598,0.014392284235020592
6715.607214428857,3.153527801517498e-06,7.80260189480046e-07,0.11879571441219004,0.866237617665453,0.014962734134365885
6710.66132264529,3.1114661601609352e-06,7.702942136639966e-07,0.11912005282056928,0.8654830732699286,0.01539299214912826
6705.715430861724,3.069471187305002e-06,7.605153288024123e-07,0.11947012579883867,0.8648103257095239,0.015715718505121323
6700.769539078156,3.0279286345990147e-06,7.509231123117863e-07,0.11984089947428564,0.8641913439225758,0.01596397775139169
6695.823647294589,2.9870660474432133e-06,7.415040603074009e-07,0.1202300844785896,0.863606092634846,0.016160094316456597
6690.877755511022,2.9470167717357454e-06,7.322476146456565e-07,0.12063336690555337,0.8630467272340167,0.016316226596043593
6685.931863727455,2.907841837734847e-06,7.231451588589055e-07,0.12104649189987936,0.8625076276601531,0.016442249452970903
6680.985971943888,2.869543374961643e-06,7.14188061809016e-07,0.12146648647660066,0.8619839603183047,0.01654596947365783
6676.040080160321,2.832088222143909e-06,7.053684931917374e-07,0.12189132343976371,0.8614720784012835,0.016633060702237468
6671.094188376754,2.795426138125628e-06,6.966797376175996e-07,0.12231963502164757,0.860969301882066,0.016707570990410647
6666.148296593186,2.7595020144255073e-06,6.881162595242615e-07,0.12275043362340798,0.8604737463423239,0.016772372415994163
6661.202404809619,2.7242623125466856e-06,6.796734361108642e-07,0.12318300825645517,0.8599840640243359,0.016829523783460254
6656.256513026052,2.6896583032125446e-06,6.713473351434366e-07,0.12361683756660387,0.8594992794641237,0.016880521963633988
6651.310621242485,2.6556472766280343e-06,6.631345464808453e-07,0.12405154723065898,0.8590186732025182,0.01692646078499971
6646.364729458917,2.6221925882909404e-06,6.550320551535408e-07,0.12448687130814291,0.8585417137905148,0.016968137676698802
6641.418837675351,2.5892631235094095e-06,6.470371479770102e-07,0.12492262462621105,0.8580680155674294,0.0170061235060881
6636.472945891784,2.5568325357664642e-06,6.391473463905684e-07,0.1253586836949319,0.8575973117061773,0.017040808619008696
6631.527054108216,2.5248784694966886e-06,6.31360362873152e-07,0.12579496984467345,0.8571294381467714,0.017072435769722727
6626.581162324649,2.4933819520080742e-06,6.236740979026931e-07,0.12623142245717064,0.8566643302175995,0.01710113026917992
6621.635270541083,2.462326501461808e-06,6.160865457757655e-07,0.1266680308704368,0.8562019598383492,0.017126930878166746
6616.689378757515,2.4316976104317555e-06,6.085957733462585e-07,0.12710481203017399,0.8557423139775316,0.017149833698910655
6611.743486973948,2.40148237803867e-06,6.011999130118951e-07,0.12754178721132778,0.8552853697753353,0.01716984033104585
6606.797595190381,2.3716692024732356e-06,5.938971504527565e-07,0.12797896725352637,0.8548310680504151,0.01718699912970556
6601.851703406814,2.342247571303213e-06,5.866857214578607e-07,0.1284163430019921,0.8543792985648072,0.017201429499907883
6596.905811623246,2.3132078439057665e-06,5.795638966590499e-07,0.12885388066634124,0.8539298988405118,0.01721332772140638
6591.959919839679,2.284541147397991e-06,5.725299885276983e-07,0.1292915230647741,0.853482659593682,0.01722296027040804
6587.014028056112,2.256239256347131e-06,5.655823511960944e-07,0.1297291920685524,0.8530373337227664,0.017230652387073664
6582.0681362725445,2.2282944758940076e-06,5.587193791910767e-07,0.1301667915909337,0.8525936471061335,0.017236774289077772
6577.122244488978,2.200699573370471e-06,5.51939516297427e-07,0.13060421224619298,0.8521513113517718,0.017241723762945527
6572.176352705411,2.173447720126926e-06,5.452412642374974e-07,0.1310413382468975,0.8517100408148985,0.017245902249219625
6567.230460921844,2.1465324185524838e-06,5.38623183891846e-07,0.13147805500149676,0.8512695718544505,0.01724968798845028
6562.284569138276,2.11994747783897e-06,5.320839035505039e-07,0.1319142573478113,0.8508296774291519,0.01725341319165541
6557.33867735471,2.0936869890256495e-06,5.256221215860371e-07,0.13234985518976627,0.8503901752464403,0.01725735025468278
6552.392785571143,2.067745295296929e-06,5.192366027480532e-07,0.1327847764234013,0.8499509297748606,0.01726170681983996
6547.446893787575,2.0421169556103877e-06,5.129261683498366e-07,0.13321896706832012,0.8495118486596398,0.017266629228916086
6542.501002004008,2.0167967055866547e-06,5.066896822806476e-07,0.1336523891742306,0.8490728753051304,0.01727221203425111
6537.555110220441,1.99177942674773e-06,5.005260366763938e-07,0.1340850181932054,0.8486339811480585,0.017278508353272604
6532.609218436874,1.9670601360440707e-06,4.944341417205047e-07,0.1345168398065396,0.848195157375891,0.01728554132329163
6527.663326653306,1.9426339970680072e-06,4.884129220775941e-07,0.1349478473170298,0.8477564080620085,0.017293313574042624
6522.717434869739,1.9184963369454435e-06,4.824613182749738e-07,0.13537803835996529,0.8473177426121637,0.017301818070215802
6517.771543086173,1.8946426675277866e-06,4.7657829388741233e-07,0.13580741206379082,0.8468791696188835,0.017311047096364218
6512.825651302605,1.8710686877174763e-06,4.70762842357847e-07,0.13623596629162782,0.8464406913767715,0.01732100050007057
6507.879759519038,1.8477702679541214e-06,4.650139918747003e-07,0.13666369573798806,0.8460023011214767,0.017331690356275464
6502.933867735471,1.8247434237937581e-06,4.5933080795462295e-07,0.13709059098403056,0.84556398474051,0.017343140201227736
6497.9879759519035,1.801984287098972e-06,4.537123942402543e-07,0.1375166398456274,0.8451257243136168,0.01735538014407445
6493.042084168337,1.779489092008729e-06,4.4815789445328094e-07,0.1379418290610808,0.8446875050228325,0.017368438269100173
6488.09619238477,1.7572540767684399e-06,4.426664687274174e-07,0.13836615375826905,0.8442493145544258,0.01738233176675963
